t,,h
4.07254,,16.5572
4.07604,,0.281893
4.07954,,11.4972
4.08304,,-1.06639
4.08654,,-4.89558
4.09005,,-7.32923
4.09355,,0.402122
4.09705,,7.93674
4.10055,,-12.1138
4.10405,,-29.8835
4.10755,,-19.6099
4.11106,,-40.6514
4.11456,,-1.58065
4.11806,,-15.0315
4.12156,,-9.95605
4.12506,,-34.6291
4.12856,,7.47161
4.13207,,-32.4956
4.13557,,-0.888026
4.13907,,-26.8735
4.14257,,-57.1403
4.14607,,-24.512
4.14957,,4.11772
4.15308,,-20.2972
4.15658,,-73.4384
4.16008,,-36.9705
4.16358,,41.8754
4.16708,,-52.7463
4.17059,,-54.3919
4.17409,,-111.74
4.17759,,-26.2807
4.18109,,16.2289
4.18459,,-6.34006
4.18809,,-56.0174
4.1916,,-121.436
4.1951,,-76.9311
4.1986,,-55.5647
4.2021,,-55.7146
4.2056,,-49.6319
4.2091,,32.1478
4.21261,,-23.3109
4.21611,,-13.7186
4.21961,,8.9933
4.22311,,-78.3977
4.22661,,-75.0753
4.23012,,-148.738
4.23362,,-67.2082
4.23712,,-10.1188
4.24062,,-34.4742
4.24412,,13.893
4.24762,,-38.6197
4.25113,,-109.908
4.25463,,-57.1752
4.25813,,-36.0647
4.26163,,-43.1873
4.26513,,-161.389
4.26863,,-17.4418
4.27214,,-38.7589
4.27564,,-44.698
